Sample_ID,Nest_ID,Site_Number,Sdag_C293,Sol_55,Sol_6,C147,i_130,i_120_PigTail,C368_PigTail,C334,C121_PigTail,C485,C259,C294,i_113,Sol_J1,Jackstraw_PigTail,i_109,C216_pigtail
ARG05_1a,ARG05_1,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,111,156,209
ARG05_1a,ARG05_1,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,209
ARG05_1c,ARG05_1,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,209
ARG05_1c,ARG05_1,1,243,177,95,73,275,314,209,199,161,114,226,98,165,284,113,156,225
ARG05_1d,ARG05_1,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,154,225
ARG05_1d,ARG05_1,1,243,177,95,73,275,314,209,199,161,114,226,98,165,284,113,156,225
ARG05_1e,ARG05_1,1,243,177,95,73,275,312,209,199,161,114,226,98,165,284,113,156,209
ARG05_1e,ARG05_1,1,243,177,95,73,275,312,209,199,161,114,226,98,165,284,113,156,225
ARG05_1f,ARG05_1,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,154,209
ARG05_1f,ARG05_1,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_1g,ARG05_1,1,243,177,95,73,275,314,205,199,161,114,225,98,165,284,113,156,219
ARG05_1g,ARG05_1,1,243,177,95,73,275,314,209,199,161,114,226,98,165,284,113,156,225
ARG05_1h,ARG05_1,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,209
ARG05_1h,ARG05_1,1,243,177,95,73,275,314,209,199,161,114,226,98,165,284,113,156,225
ARG05_1i,ARG05_1,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,209
ARG05_1i,ARG05_1,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_1j,ARG05_1,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,154,225
ARG05_1j,ARG05_1,1,243,177,95,73,275,314,209,199,161,114,226,98,165,284,113,156,225
ARG05_1k,ARG05_1,1,243,177,93,73,275,312,205,199,161,114,225,98,165,284,113,156,209
ARG05_1k,ARG05_1,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,219
ARG05_1l,ARG05_1,1,243,177,93,73,275,312,209,199,161,114,223,98,165,284,113,154,219
ARG05_1l,ARG05_1,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_1male,ARG05_1,1,NA,177,95,73,275,312,209,199,161,114,227,98,165,284,113,154,225
ARG05_1male,ARG05_1,1,NA,177,95,73,275,312,209,199,161,114,227,98,165,284,113,154,225
ARG05_2a,ARG05_2,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,225
ARG05_2a,ARG05_2,1,243,177,95,73,275,314,209,199,161,114,226,98,165,284,113,156,225
ARG05_2c,ARG05_2,1,243,177,93,73,275,312,209,199,161,114,225,98,165,284,113,156,225
ARG05_2c,ARG05_2,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_2d,ARG05_2,1,243,177,93,73,275,312,205,199,161,114,223,98,165,284,113,156,219
ARG05_2d,ARG05_2,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_2e,ARG05_2,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,154,225
ARG05_2e,ARG05_2,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_2f,ARG05_2,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,154,209
ARG05_2f,ARG05_2,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,225
ARG05_2g,ARG05_2,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,209
ARG05_2g,ARG05_2,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_2h,ARG05_2,1,243,177,93,73,275,312,205,199,161,114,223,98,165,284,113,156,219
ARG05_2h,ARG05_2,1,243,177,95,73,275,314,209,199,161,114,226,98,165,284,113,156,225
ARG05_2i,ARG05_2,1,243,177,93,73,275,312,209,199,161,114,225,98,165,284,113,154,225
ARG05_2i,ARG05_2,1,243,177,95,73,275,314,209,199,161,114,226,98,165,284,113,156,225
ARG05_2j,ARG05_2,1,243,177,93,73,275,314,205,199,161,114,225,98,165,284,113,154,209
ARG05_2j,ARG05_2,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,219
ARG05_2k,ARG05_2,1,243,177,93,73,275,312,209,199,161,114,223,98,165,284,113,154,219
ARG05_2k,ARG05_2,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_2l,ARG05_2,1,243,177,95,73,275,312,205,199,161,114,225,98,165,284,113,154,219
ARG05_2l,ARG05_2,1,243,177,95,73,275,314,209,199,161,114,226,98,165,284,113,156,225
ARG05_2male,ARG05_2,1,NA,177,95,73,275,312,209,199,161,114,227,98,165,284,113,154,209
ARG05_2male,ARG05_2,1,NA,177,95,73,275,312,209,199,161,114,227,98,165,284,113,154,209
ARG05_3a,ARG05_3,1,243,177,95,73,275,312,202,199,161,114,225,98,165,284,113,156,219
ARG05_3a,ARG05_3,1,243,177,95,73,275,314,209,199,161,114,226,98,165,284,113,156,225
ARG05_3c,ARG05_3,1,243,177,93,73,275,312,205,199,161,114,225,98,165,284,113,156,219
ARG05_3c,ARG05_3,1,243,177,95,73,275,314,209,199,161,114,226,98,165,284,113,156,225
ARG05_3d,ARG05_3,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,154,225
ARG05_3d,ARG05_3,1,243,177,95,73,275,312,209,199,161,114,226,98,165,284,113,156,225
ARG05_3e,ARG05_3,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,154,225
ARG05_3e,ARG05_3,1,243,177,95,73,275,312,209,199,161,114,226,98,165,284,113,156,225
ARG05_3f,ARG05_3,1,243,177,93,73,275,312,209,NA,161,114,223,98,165,284,113,154,219
ARG05_3f,ARG05_3,1,243,177,95,73,275,314,209,NA,161,114,225,98,165,284,113,156,225
ARG05_3g,ARG05_3,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,209
ARG05_3g,ARG05_3,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,219
ARG05_3h,ARG05_3,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,209
ARG05_3h,ARG05_3,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_3i,ARG05_3,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,209
ARG05_3i,ARG05_3,1,243,177,95,73,275,312,209,199,161,114,225,98,165,284,113,156,225
ARG05_3j,ARG05_3,1,243,177,93,73,275,314,205,199,161,114,225,98,165,284,113,154,209
ARG05_3j,ARG05_3,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,219
ARG05_3K,ARG05_3,1,243,177,93,73,275,312,205,199,161,114,223,98,165,284,113,154,225
ARG05_3K,ARG05_3,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_3L,ARG05_3,1,243,177,95,73,275,312,205,199,161,114,225,98,165,284,113,156,219
ARG05_3L,ARG05_3,1,243,177,95,73,275,314,209,199,161,114,225,98,165,284,113,156,225
ARG05_3male,ARG05_3,1,NA,177,95,73,275,312,209,199,161,114,227,98,165,284,113,154,225
