Sample_ID,Site_Number,Sol_49,Sdag_C293,Sol_55,i_126,i_114,Sol_6,Sinv_25,Sol_M3,C147,i_130,C487_PigTail,Sol_42f,C316,C204,C536,C27,i_120_PigTail,C234,C368_PigTail,i_135,C334,C121_PigTail,wharf_rat_PigTail,C264,C367,Sinv12,C485,Dire_wolf,Wilco_PT,C259,Sol_M2,C294,i_113,i_127,Slipknot2,C277,cassidy_PigTail,Sol_J1,Jackstraw_PigTail,Bertha,jack_a_roe,i_106,i_134,i_109,C216_pigtail,i102,i129
ARG05_1,1,142,243,177,215,294,95,169,206,73,275,318,96,211,167,99,207,312,118,209,111,199,161,323,123,231,120,114,308,78,225,259,98,165,217,301,96,230,284,111,200,308,85,206,156,209,85,156
ARG05_1,1,142,243,177,215,294,95,169,206,73,275,318,96,211,167,99,207,312,118,209,111,199,161,323,123,231,120,114,308,78,225,259,98,165,217,301,96,230,284,113,200,308,85,206,156,209,85,156
ARG05_2,1,142,243,177,215,294,95,169,206,73,275,318,96,211,167,99,207,312,118,209,111,199,161,323,123,231,120,114,308,78,225,259,98,165,217,301,96,230,284,113,200,308,85,206,156,225,85,156
ARG05_2,1,142,243,177,215,294,95,169,206,73,275,318,96,211,167,99,207,314,118,209,111,199,161,323,123,231,120,114,308,78,226,259,98,165,217,301,96,230,284,113,200,308,85,206,156,225,85,156
ARG05_3,1,142,243,177,215,294,95,NA,206,73,275,318,96,211,167,99,207,312,118,202,111,199,161,323,123,231,120,114,308,78,225,259,98,165,217,301,96,230,284,113,200,308,85,206,156,219,85,156
ARG05_3,1,142,243,177,215,294,95,NA,206,73,275,318,96,211,167,99,207,314,118,209,111,199,161,323,123,231,120,114,308,78,226,259,98,165,217,301,96,230,284,113,200,308,85,206,156,225,85,156
ARG05_4,1,142,243,177,215,294,95,169,206,73,275,318,96,211,167,99,207,314,118,207,111,199,161,323,123,231,120,114,308,78,226,259,98,165,217,301,96,230,284,113,200,308,85,206,156,209,85,156
ARG05_4,1,142,243,177,215,294,96,169,206,76,275,318,96,211,167,99,207,320,118,207,111,199,163,323,123,231,120,114,308,78,226,259,98,165,217,301,96,230,286,115,200,308,85,206,156,225,85,156
ARG05_5,1,142,243,177,215,294,84,169,206,73,275,318,96,211,167,99,207,314,118,202,111,199,161,323,123,231,120,114,308,78,223,259,98,165,217,301,96,230,284,113,200,308,85,206,156,209,85,156
ARG05_5,1,142,243,177,215,294,95,169,206,73,275,318,96,211,167,99,207,320,118,207,111,199,163,323,123,231,120,114,308,78,223,259,98,165,217,301,96,230,284,113,200,308,85,206,156,219,85,156
ARG05_6,1,142,243,177,215,294,95,169,206,73,275,318,96,211,167,99,207,312,118,202,111,199,161,323,123,231,120,114,308,78,226,259,98,161,217,301,96,230,250,115,200,308,85,206,154,219,85,156
ARG05_6,1,142,243,177,215,294,95,169,206,73,275,318,96,211,167,99,207,312,118,202,111,199,161,323,123,231,120,114,308,78,226,259,98,161,217,301,96,230,284,115,200,308,85,206,154,225,85,156
ARG05_7,1,142,241,177,215,294,95,169,206,73,275,318,96,211,167,99,207,320,118,207,111,199,161,323,123,231,120,114,308,78,223,259,98,167,217,301,96,230,284,113,200,308,85,206,154,219,85,156
ARG05_7,1,142,243,177,215,294,95,169,206,73,275,318,96,211,167,99,207,320,118,207,111,199,163,323,123,231,120,114,308,78,226,259,98,167,217,301,96,230,286,113,200,308,85,206,156,227,85,156
ARG05_8,1,142,243,177,209,294,95,169,206,73,275,318,96,211,167,99,207,312,118,207,111,199,161,323,123,231,120,114,308,78,225,259,98,165,217,301,96,230,286,113,200,308,85,206,154,209,85,156
ARG05_8,1,142,243,177,215,294,95,169,206,73,279,318,96,211,167,99,207,314,118,207,111,199,161,323,123,231,120,114,308,78,225,259,98,165,217,301,96,230,286,113,200,308,85,206,156,227,85,156
ARG05_9,1,142,243,177,215,294,84,169,206,73,275,318,96,211,167,99,207,312,118,205,111,199,161,323,123,231,120,114,308,78,225,259,98,165,217,301,96,230,284,113,200,308,85,206,154,209,85,156
ARG05_9,1,142,243,177,215,294,95,169,206,73,275,318,96,211,167,99,207,314,118,207,111,199,161,323,123,231,120,114,308,78,225,259,98,165,217,301,96,230,284,113,200,308,85,206,154,225,85,156
ARG05_10,1,142,243,177,215,294,84,169,206,73,275,318,96,211,167,99,207,314,118,207,111,199,161,323,123,231,120,114,308,78,223,259,98,165,217,301,96,230,284,113,200,308,85,206,154,209,85,156
ARG05_10,1,142,243,177,215,294,84,169,206,73,275,318,96,211,167,99,207,314,118,207,111,199,161,323,123,231,120,114,308,78,223,259,98,165,217,301,96,230,284,113,200,308,85,206,154,209,85,156
ARG05_11,1,142,243,177,215,294,95,169,206,73,275,318,96,211,167,99,207,320,118,202,111,199,161,323,123,231,120,114,308,78,226,259,98,167,217,301,96,230,284,113,200,308,85,206,154,209,85,156
